Line,Station,date,total,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-24:00,24:00-25:00
7,Naebang,20140602,18021,130,383,997,1382,900,703,615,570,725,685,841,881,1167,2972,1623,1048,1139,852,328,80
7,Naebang,20140603,17544,110,345,1000,1418,852,648,607,601,625,653,763,907,1199,2817,1650,1003,1072,805,388,81
7,Naebang,20140604,10076,83,216,289,479,617,522,561,611,647,638,638,736,708,881,614,530,598,507,199,2
7,Naebang,20140605,16835,108,326,822,1231,866,646,643,615,739,748,921,908,1220,2464,1545,952,937,728,370,46
7,Naebang,20140606,7673,92,199,227,428,496,413,464,499,424,458,432,572,522,606,439,392,434,395,180,1
7,Naebang,20140607,8685,91,194,247,444,531,538,549,582,720,548,582,679,693,573,435,372,448,318,141, - 
7,Naebang,20140608,6214,66,149,170,297,387,381,305,386,445,464,462,476,409,410,351,284,338,303,130,1
7,Naebang,20140609,18261,139,374,1027,1360,881,674,682,661,756,718,825,947,1209,2868,1689,1042,1130,840,350,89
7,Naebang,20140610,17924,129,363,1029,1369,926,697,639,620,629,741,822,821,1173,2841,1656,999,1199,857,357,57
7,Naebang,20140611,17912,115,362,1005,1394,934,683,609,648,760,688,779,927,1248,3002,1559,954,1058,775,329,83
7,Naebang,20140612,17747,111,378,981,1361,894,694,651,579,728,686,792,907,1330,2817,1529,1024,1014,799,388,84
7,Naebang,20140613,17716,109,338,934,1390,854,634,621,624,649,765,905,923,1266,2919,1647,951,925,776,400,86
7,Naebang,20140614,10299,85,233,309,523,627,619,719,724,809,711,705,763,788,651,487,430,512,436,167,1
7,Naebang,20140615,6583,89,165,182,276,394,376,365,468,487,486,458,464,527,396,339,343,332,317,118,1
7,Naebang,20140616,18027,125,370,993,1344,872,683,602,637,737,705,794,909,1232,2953,1714,1057,1069,833,314,84
7,Naebang,20140617,17935,117,381,970,1319,932,679,652,580,676,757,761,916,1322,2993,1563,999,1056,853,332,77
7,Naebang,20140618,18011,140,502,851,1119,1013,671,649,729,701,696,814,903,1425,2895,1604,1026,983,859,367,64
7,Naebang,20140619,17710,123,370,934,1295,868,638,615,565,697,758,743,962,1367,2863,1541,969,1077,853,390,82
7,Naebang,20140620,17979,119,370,947,1283,815,715,630,630,732,761,820,997,1401,3017,1575,969,981,793,357,67
7,Naebang,20140621,10158,103,214,302,478,565,605,659,755,814,749,675,762,821,650,489,450,485,414,168, - 
7,Naebang,20140622,6333,81,167,164,252,406,363,353,413,437,445,501,495,413,413,397,292,336,280,125, - 
7,Naebang,20140623,17038,117,403,933,1246,794,603,599,550,639,653,737,772,1343,2938,1678,988,939,762,288,56
7,Naebang,20140624,17540,120,354,945,1295,844,570,602,594,692,726,730,851,1319,2969,1579,997,1044,895,350,64
7,Naebang,20140625,17584,118,357,956,1280,851,622,626,641,740,742,771,917,1231,2838,1603,952,1066,849,350,74
7,Naebang,20140626,17607,125,339,956,1284,836,658,650,583,695,742,760,940,1325,2911,1526,984,1037,836,342,78
7,Naebang,20140627,17806,102,337,981,1290,832,668,651,662,663,710,859,1066,1312,2990,1599,890,985,816,326,67
7,Naebang,20140628,10005,93,236,309,519,612,572,586,696,754,671,709,778,871,662,486,409,497,385,160, - 
7,Naebang,20140629,6369,74,177,162,309,394,409,378,433,466,430,477,456,435,422,319,286,362,279,101, - 
7,Naebang,20140630,17589,106,377,970,1270,812,654,601,680,743,697,801,949,1196,2833,1634,1056,973,797,377,63
7,Naebang,20140701,17283,100,373,938,1343,865,635,581,539,715,681,776,822,1232,2903,1669,992,1024,718,300,77
7,Naebang,20140702,17332,110,357,946,1299,802,642,593,685,671,702,754,928,1266,3031,1496,995,942,735,318,60
7,Naebang,20140703,17008,122,349,951,1320,845,638,575,565,598,627,787,872,1183,2881,1525,988,958,811,349,64
7,Naebang,20140704,16822,92,313,795,1216,778,617,568,534,653,637,775,855,1271,2945,1668,997,888,791,365,64
7,Naebang,20140705,9586,91,232,297,514,583,531,623,668,711,638,655,720,787,636,454,415,469,406,147,9
7,Naebang,20140706,6354,76,152,176,290,390,405,354,427,450,436,421,442,447,432,331,332,396,291,104,2
7,Naebang,20140707,17630,109,350,1000,1306,847,598,626,633,644,743,791,908,1261,2931,1701,1025,994,731,381,51
7,Naebang,20140708,17504,107,352,963,1287,894,621,580,627,680,648,755,943,1230,2984,1604,949,1088,800,332,60
7,Naebang,20140709,17117,110,329,981,1334,858,650,599,666,650,641,706,863,1188,2864,1532,1018,944,824,289,71
7,Naebang,20140710,17165,117,320,936,1288,859,622,572,597,664,690,772,854,1269,2764,1554,992,1047,824,360,64
7,Naebang,20140711,17288,122,332,925,1267,895,611,657,614,682,670,822,912,1248,2947,1533,907,923,730,408,83
7,Naebang,20140712,9708,91,211,271,488,604,596,642,727,752,676,689,731,726,617,460,399,437,427,164, - 
7,Naebang,20140713,6279,77,152,193,278,386,371,336,411,486,443,454,431,445,378,330,315,367,294,132, - 
7,Naebang,20140714,17428,122,360,978,1275,806,653,586,556,649,691,755,898,1209,3011,1657,1071,917,847,317,70
7,Naebang,20140715,17374,108,342,995,1283,847,649,630,559,672,717,692,854,1223,2870,1612,1055,1026,801,362,77
7,Naebang,20140716,17509,108,333,961,1320,829,646,613,669,681,626,827,881,1288,2999,1497,962,1012,817,376,64
7,Naebang,20140717,17193,113,348,956,1240,885,633,602,580,640,670,801,805,1303,2850,1593,912,1006,834,343,79
7,Naebang,20140718,17468,88,303,889,1279,829,664,602,579,701,687,816,997,1305,2996,1710,875,933,792,354,69
7,Naebang,20140719,9565,81,223,272,480,572,526,575,724,731,678,656,710,809,670,448,386,461,386,177, - 
7,Naebang,20140720,6236,72,156,193,279,391,353,349,420,446,438,452,433,432,414,299,354,305,351,99, - 
7,Naebang,20140721,17385,104,353,941,1247,813,626,628,640,684,662,785,891,1321,2746,1670,1059,1079,749,323,64
7,Naebang,20140722,17248,97,365,905,1270,815,612,584,621,705,706,821,854,1298,2854,1540,971,1030,777,350,73
7,Naebang,20140723,16927,99,316,875,1247,814,574,607,676,703,617,803,877,1184,2898,1554,914,1002,764,348,55
7,Naebang,20140724,16827,91,296,842,1257,832,602,625,612,650,723,779,780,1192,2792,1557,899,1053,781,393,71
7,Naebang,20140725,17258,102,287,834,1198,845,650,642,617,746,717,844,851,1312,3046,1648,904,924,687,325,79
7,Naebang,20140726,9123,72,205,282,472,550,517,569,638,656,643,672,731,712,569,503,393,407,378,154, - 
7,Naebang,20140727,6152,75,154,182,305,378,368,301,419,415,416,473,442,442,411,274,330,363,272,131,1
7,Naebang,20140728,16229,96,342,798,1181,764,604,655,612,610,679,783,914,1148,2777,1533,869,865,690,251,58
7,Naebang,20140729,16448,106,294,809,1245,822,596,610,601,679,763,775,816,1123,2771,1459,945,945,719,295,75
7,Naebang,20140730,16001,101,286,780,1217,815,562,600,642,674,647,749,824,1129,2712,1394,847,896,733,331,62
7,Naebang,20140731,15351,101,293,811,1153,809,581,624,540,597,632,674,748,1053,2517,1300,880,892,743,332,71
7,Naebang,20140801,15147,84,313,723,1103,772,547,580,538,636,603,718,824,1041,2748,1405,813,689,617,342,51
7,Naebang,20140802,8277,75,200,253,454,561,465,499,625,576,564,588,593,640,525,426,306,398,380,149, - 
7,Naebang,20140803,5377,79,141,158,231,301,330,237,363,408,397,405,422,341,384,288,237,300,249,106, - 
7,Naebang,20140804,15463,100,315,768,1132,767,535,547,523,624,626,764,839,1104,2673,1403,863,914,640,264,62
7,Naebang,20140805,15917,92,324,807,1156,809,592,588,570,707,656,758,799,1111,2695,1415,846,936,686,327,43
7,Naebang,20140806,15794,118,275,759,1202,763,581,671,593,697,621,684,773,1142,2763,1400,826,873,711,288,54
7,Naebang,20140807,16056,95,306,749,1172,818,620,587,596,698,675,716,803,1124,2684,1544,939,903,689,279,59
7,Naebang,20140808,16069,106,303,742,1150,880,626,575,604,622,698,815,857,1172,2829,1452,795,859,637,293,54
7,Naebang,20140809,9091,76,212,261,509,616,495,552,696,716,620,548,678,681,615,481,370,416,393,156, - 
7,Naebang,20140810,5918,70,180,173,255,404,372,306,390,460,467,460,409,433,343,259,267,308,263,98,1
7,Naebang,20140811,16815,120,321,842,1224,835,580,637,603,765,778,797,892,1153,2848,1534,932,931,651,305,67
7,Naebang,20140812,16604,124,290,809,1216,835,596,562,634,712,720,800,859,1158,2790,1447,936,1007,753,307,49
7,Naebang,20140813,16652,111,306,813,1246,824,623,690,640,778,679,731,854,1241,2842,1403,813,952,721,317,68
