year,location,type,total,0-14,15-20,21-30,31-40,41-50,51-60,61-64,65-70,71-
2010,jongnogu,injured,2009,51,111,431,427,414,370,65,81,59
2010,junggu,died,7,0,0,2,1,0,1,1,1,1
2010,junggu,injured,2152,33,101,481,469,482,367,87,90,42
2010,yongsangu,died,15,0,0,2,3,2,3,2,0,3
2010,yongsangu,injured,1738,54,88,374,407,338,290,72,54,61
2010,sungdonggu,died,15,0,0,1,3,4,2,2,1,2
2010,sungdonggu,injured,1528,60,95,372,301,310,245,48,60,37
2010,gwangjingu,died,17,2,1,3,4,1,2,0,2,2
2010,gwangjingu,injured,2212,104,159,522,439,450,351,68,62,57
2010,dongdaemungu,died,25,0,2,2,1,2,7,0,4,7
2010,dongdaemungu,injured,2484,94,177,512,429,515,439,112,122,84
2010,junglanggu,died,17,0,2,1,0,4,5,0,1,4
2010,junglanggu,injured,2841,161,309,491,543,552,486,97,103,99
2010,sungbukgu,died,10,0,1,0,0,0,2,0,1,6
2010,sungbukgu,injured,2197,131,203,436,424,409,347,72,84,91
2010,gangbukgu,died,16,1,2,2,0,2,3,1,4,1
2010,gangbukgu,injured,1780,85,166,358,322,346,279,94,72,58
2010,dobonggu,died,11,0,1,2,0,1,2,0,2,3
2010,dobonggu,injured,1362,92,164,241,188,261,248,46,73,49
2010,nowongu,died,25,0,3,2,1,3,5,3,2,6
2010,nowongu,injured,2434,149,255,437,444,523,402,70,94,60
2010,enpyunggu,died,16,0,0,3,2,2,0,1,3,5
2010,enpyunggu,injured,2120,143,219,351,345,385,408,96,95,78
2010,sudaemungu,died,15,1,0,2,1,3,1,1,3,3
2010,sudaemungu,injured,1719,95,138,363,318,345,278,63,68,51
2010,mapogu,died,22,1,1,6,4,2,3,1,1,3
2010,mapogu,injured,2697,99,198,669,580,511,412,86,87,55
2010,yangchungu,died,12,0,1,3,1,2,2,0,1,2
2010,yangchungu,injured,2070,137,196,348,393,473,339,71,65,48
2010,gangsugu,died,21,3,3,1,1,3,4,1,1,4
2010,gangsugu,injured,2594,134,247,458,497,517,463,99,103,76
2010,gulogu,died,14,0,1,4,2,2,1,2,1,1
2010,gulogu,injured,2270,97,172,449,455,492,383,95,69,58
2010,gemchungu,died,12,0,1,2,3,3,2,0,1,0
2010,gemchungu,injured,1702,82,189,305,315,385,280,53,54,39
2010,yeongdeungpogu,died,30,3,0,5,1,6,5,1,3,6
2010,yeongdeungpogu,injured,3348,132,213,738,722,697,530,137,107,72
2010,dongjakgu,died,13,0,1,2,4,1,0,0,1,4
2010,dongjakgu,injured,1594,75,108,365,337,314,241,55,56,43
2010,gwanakgu,died,16,1,0,1,3,1,1,2,2,5
2010,gwanakgu,injured,2632,117,219,614,526,464,436,97,98,61
2010,suchogu,died,20,1,0,3,2,3,5,1,1,4
2010,suchogu,injured,3372,105,166,760,837,705,538,108,104,49
2010,gangnamgu,died,31,1,1,8,4,5,8,1,3,0
2010,gangnamgu,injured,5176,124,205,"1,560","1,278",999,701,152,105,52
2010,songpagu,died,16,0,0,2,3,2,2,2,2,3
2010,songpagu,injured,3742,213,262,751,749,782,681,125,113,66
2010,gangdonggu,died,14,2,1,1,1,1,6,0,0,2
2010,gangdonggu,injured,1945,113,180,389,328,419,323,73,66,54
2011,jongnogu,died,14,0,0,1,0,1,5,2,1,4
2011,jongnogu,injured,1994,47,96,433,411,394,379,82,83,69
2011,junggu,died,13,0,0,4,0,3,1,3,2,0
2011,junggu,injured,2025,35,95,428,446,411,386,83,78,63
2011,yongsangu,died,9,0,1,3,2,1,1,0,0,1
2011,yongsangu,injured,1704,58,80,430,396,320,246,77,55,42
2011,sungdonggu,died,21,0,1,4,1,6,4,0,1,4
2011,sungdonggu,injured,1603,79,115,304,364,329,234,69,62,47
2011,gwangjingu,died,23,1,3,1,3,1,5,2,2,5
2011,gwangjingu,injured,2033,97,152,448,427,417,314,72,65,41
2011,dongdaemungu,died,13,0,0,2,2,1,2,1,2,3
2011,dongdaemungu,injured,2431,101,185,500,441,436,440,120,113,95
2011,junglanggu,died,12,0,1,3,0,2,2,1,2,1
2011,junglanggu,injured,2386,132,249,406,422,506,411,95,84,81
2011,sungbukgu,died,22,1,3,4,1,1,4,0,3,5
